,Browser,OS,after,after_text,age,assess,before,before_text,comments,education,enjoyment,fairprice,gender,hasty_subject,how_did_it_go,in_between,is_valid,language,n_symptoms,negated_response,parse_error,parser_feedback,positive_response,problems,prompt,query_type,response,rt,screenH,screenW,secondary_response,secondary_response_type,session_index,start,time,time_in_minutes,trial_level,variable,workerid
0,,,.,.,,,<span class='variable_word name'>{{}}</span> has an illness. <span class='variable_word HHe'>{{}}</span> has ,Madison has an illness. He has ,,,,,,,,NA,True,,NA,Lung did not cancer,False,NA,Lung cancer,,NA,text,lung cancer,1.943,,,NA,NA,,1521040396684,1521040408616,,0,D,0
1,,,.,.,,,"Because <span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>, ","Because Taylor does not have lung cancer, ",,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> isn't ill,False,,<span class='variable_word name'>{{}}</span> is ill,,NA,text,he is ill,14.948,,,NA,NA,,1521040396684,1521040424018,,1,nR,0
2,,,.,.,,,<span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span> because ,Alex has lung cancer because ,,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> did not smoke,False,,<span class='variable_word name'>{{}}</span> smoked,,NA,text,he smoked,7.05,,,NA,NA,,1521040396684,1521040431471,,1,pC,0
3,,,.,.,,,<span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span> because ,Sam does not have lung cancer because ,,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> did not didnt smoke,False,,<span class='variable_word name'>{{}}</span> didnt smoke,,NA,text,he didnt smoke,5.777,,,NA,NA,,1521040396684,1521040437615,,1,nC,0
4,,,.,.,,,<span class='variable_word name'>{{}}</span> has an illness. <span class='variable_word HHe'>{{}}</span> has ,Casey has an illness. He has ,,,,,,,,NA,True,,NA,Lung did not cancer,False,NA,Lung cancer,,NA,text,lung cancer,2.685,,,NA,NA,,1521040444247,1521040455525,,0,D,0
5,,,.,.,,,<span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span> because ,Pat has lung cancer because ,,,,,,,,NA,True,,NA,Because <span class='variable_word name'>{{}}</span> did not have an illness,False,,Because <span class='variable_word name'>{{}}</span> has an illness,,NA,text,because he has an illness,9.445,,,NA,NA,,1521040444247,1521040465361,,1,pC,0
6,,,.,.,,,<span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span> because ,Chris does not have lung cancer because ,,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> isn't healthy,False,,<span class='variable_word name'>{{}}</span> is healthy,,NA,text, he is healthy,5.365,,,NA,NA,,1521040444247,1521040471125,,1,nC,0
7,,,.,.,,,"Because <span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>, ","Because Madison does not have lung cancer, ",,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> did not didnt smoke,False,,<span class='variable_word name'>{{}}</span> didnt smoke,,NA,text,he didnt smoke,5.038,,,NA,NA,,1521040444247,1521040476542,,1,nR,0
8,,,.,.,,,"Because <span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>, ","Because Alex has lung cancer, ",,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> did not smoke,False,,<span class='variable_word name'>{{}}</span> smoked,,NA,text,he smoked,3.744,,,NA,NA,,1521040444247,1521040480704,,1,pR,0
9,,,.,.,,,"<span class='history'><span class='variable_word positive_nC'>{{}}</span>.<br/></span>Because <span class='variable_word positive_nC'>{{}}</span>, ","Taylor is healthy.Because Taylor is healthy, ",,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> did not doesnt smoke,False,,<span class='variable_word name'>{{}}</span> doesnt smoke,,NA,text,he doesnt smoke,6.71,,,NA,NA,,1521040444247,1521040487659,,2,nCpR,0
10,,,.,.,,,<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_pC'>{{}}</span>.<br/></span><span class='variable_word positive_pC'>{{}}</span> because ,Jess has lung cancer.Because Jess has an illness.Because Jess has an illness because ,,,,,,,,NA,True,,NA,did not have lung cncer,False,,Has lung cncer,,NA,text,has lung cncer,11.453,,,NA,NA,,1521040444247,1521040499483,,2,pCpC,0
11,,,.,.,,,<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_nC'>{{}}</span>.<br/></span><span class='variable_word positive_nC'>{{}}</span> because ,Sal does not have lung cancer.Sal is healthy.Sal is healthy because ,,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> did not doesnt have lung cancer,False,,<span class='variable_word name'>{{}}</span> doesnt have lung cancer,,NA,text,she doesnt have lung cancer,7.768,,,NA,NA,,1521040444247,1521040507622,,2,nCpC,0
12,,,.,.,,,<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_pC'>{{}}</span>.<br/></span><span class='variable_word negated_pC'>{{}}</span> because ,Tracy does not have lung cancer.Because Tracy did not have an illness.Because Tracy did not have an illness because ,,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> did not doesnt have lung cancer,False,,<span class='variable_word name'>{{}}</span> doesnt have lung cancer,,NA,text,she doesnt have lung cancer,21.046,,,NA,NA,,1521040444247,1521040529067,,2,pCnC,0
13,,,.,.,,,<span class='history'><span class='variable_word positive_nR'>{{}}</span>.<br/></span><span class='variable_word positive_nR'>{{}}</span> because ,Sam didnt smoke.Sam didnt smoke because ,,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> did not didnt want lung cnacer,False,,<span class='variable_word name'>{{}}</span> didnt want lung cnacer,,NA,text,he didnt want lung cnacer,10.679,,,NA,NA,,1521040444247,1521040540151,,2,nRpC,0
14,,,.,.,,,<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_nC'>{{}}</span>.<br/></span><span class='variable_word negated_nC'>{{}}</span> because ,Nat has lung cancer.Nat isn't healthy.Nat isn't healthy because ,,,,,,,,NA,True,,NA,Lung did not cancer,False,,Lung cancer,,NA,text,lung cancer,6.048,,,NA,NA,,1521040444247,1521040546615,,2,nCnC,0
15,,,.,.,,,"<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_pR'>{{}}</span>.<br/></span>Because <span class='variable_word positive_pR'>{{}}</span>, ","Drew has lung cancer.Drew smoked.Because Drew smoked, ",,,,,,,,NA,True,,NA,did not cause lung cancer,False,,Causing lung cancer,,NA,text,causing lung cancer,7.642,,,NA,NA,,1521040444247,1521040554640,,2,pRpR,0
